assembler,mesh_resolution,num_procs,num_reps,num_dofs,avg_core_dofs,min_core_dofs,max_core_dofs,min_core_ghosts,max_core_ghosts,mat_norm,vec_norm,t_mat,t_mat_dof,t_vec,t_vec_dof
mono,39,16,10,1543117,96444.8125,92424,100400,12414,26902,115.36440879571396,0.002045017993411631,15.663103762250001,0.0001625103278885578,0.4125343748125,4.272150364706994e-06
mono,50,32,10,3223554,100736.0625,95746,107300,13443,32259,130.90998993208336,0.0014120244001668977,19.005611427187503,0.00018885017710677782,0.490604876,4.859279469413174e-06
mono,63,64,10,6407293,100113.953125,92617,108159,14935,34700,147.18074479436328,0.0010000453509123868,19.202403508375,0.00019203812849111175,0.47861027128125005,4.7737801698788554e-06
mono,79,128,10,12571037,98211.2265625,91553,106226,15068,37028,165.01885541843077,0.0007131169407730272,19.170071305453128,0.00019541362050363986,0.555319736296875,5.651917364568307e-06
nest,39,16,10,1543117,96444.8125,91473,100918,11433,27317,115.36440879491073,0.0020450179934116313,10.436793387,0.00010829670903246266,0.21636639212500003,2.245111905050839e-06
block,50,32,10,3223554,100736.0625,94996,106450,14166,32028,130.90998993263784,0.0014120244001669005,13.787771509375002,0.00013704406888756957,0.4190504154375001,4.1388686074816945e-06
block,39,16,10,1543117,96444.8125,92761,100631,11610,26723,115.36440879653448,0.0020450179934116183,13.084981814437501,0.0001357955773382136,0.35650451006250006,3.6819471810034447e-06
block,63,64,10,6407293,100113.953125,93332,107376,15349,34570,147.18074479333904,0.001000045350912387,14.611720028140626,0.00014616183550760105,0.39692718421875006,3.960491495229128e-06
mono,100,256,10,25392104,99187.90625,92623,107764,13930,37791,185.8513201895587,0.0005012717094218149,19.618313360589845,0.0001980276055601164,0.512543593625,5.166599337179165e-06
nest,50,32,10,3223554,100736.0625,93782,106824,13898,32830,130.90998993227447,0.0014120244001669007,13.1809238519375,0.00013096632756166444,0.26254175828125004,2.608499786191541e-06
nest,63,64,10,6407293,100113.953125,92787,108143,15754,34388,147.1807447948783,0.0010000453509123866,13.3794545169375,0.00013384654267274644,0.26230075293750005,2.6254010751359078e-06
block,79,128,10,12571037,98211.2265625,92001,106660,14551,34888,165.0188554189797,0.000713116940773027,14.401367299390625,0.0001468232597599778,0.37045804217187506,3.765641221961102e-06
nest,79,128,10,12571037,98211.2265625,92137,106792,14609,35897,165.0188554168176,0.0007131169407730268,13.599509204960938,0.00013863569270922512,0.258654736578125,2.6370470505539686e-06
block,100,256,10,25392104,99187.90625,92882,108141,13784,36327,185.851320191993,0.0005012717094218152,14.67954142733594,0.00014816225946396187,0.3546499128359375,3.574283021511227e-06
nest,100,256,10,25392104,99187.90625,92787,107958,14213,37792,185.8513201905006,0.0005012717094218152,13.640006338812501,0.00013770302995065576,0.25967999651171875,2.621917013059004e-06
